lugar de interes,distancia min,estacion bici max,direccion de lugar de interes,bicis disponibles
Agencia de Proximidad de Arganzuela,348.4467185879877,Paseo Imperial nº 20,PASEO PONTONES 10,13
Agencia de Proximidad de Barajas,6567.231972837848,Calle Gutierre de Cetina nº 77,AVENIDA CANTABRIA 6,6
Agencia de Proximidad de Carabanchel,4982.433765786693,Calle Caramuel nº 51,AVENIDA CARABANCHEL ALTO 52,7
Agencia de Proximidad de Latina,2204.856169107773,Calle Caramuel nº 51,CALLE ALHAMBRA 89,7
Agencia de Proximidad de Puente de Vallecas,359.9291383691322,Calle Arroyo del Olivar nº 6,PLAZA SIERRA MINISTRA 3,24
Agencia de Proximidad de Tetuán,267.50297792237984,Calle Doctor Santero nº 1,CALLE JUAN PANTOJA 2,2
Agencia de Proximidad de Vicálvaro,2834.3174680507786,Calle Hacienda de Pavones nº 342,AVENIDA DAROCA 327,18
Agencia de Proximidad de Villaverde,3417.1847339083556,Calle Sodio nº 1B,AVENIDA OROVILLA 54,11
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Arganzuela,239.74670114975436,Paseo de la Esperanza nº 59,PASEO CHOPERA 2,13
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Barajas,7149.644730315675,Calle Gutierre de Cetina nº 77,CALLE TRESPADERNE 16,6
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Carabanchel,5887.456617871102,Glorieta Marqués de Vadillo nº 9,AVENIDA CARABANCHEL ALTO 61,5
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Centro- Sur,94.60310975715873,Plaza del Carmen nº 1,CALLE MONTERA 16,24
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamartín,937.725502230006,Avenida Pío XII nº 3,CALLE COMANDANTE AZCARRAGA 4,18
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamberí,105.47066125255193,Calle Santa Engracia nº 168,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 8,6
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,2043.8912595524978,Calle Hacienda de Pavones nº 342,CALLE PELOPONESO 9,18
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,920.3938491130865,Calle Pedro Rico nº 4,AVENIDA SOTO PALACIOS 7,3
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Hortaleza,2500.2591460403855,Calle Carlota O'Neill nº 32,CALLE JAVIER DEL QUINTO 2,14
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Latina,5310.951032938249,Calle Caramuel nº 51,CALLE RODRIGO DE ARANA 50,7
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Moratalaz,342.2682455606752,Calle Hacienda de Pavones nº 342,CALLE FUENTE CARRANTONA 8,18
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Puente de Vallecas,1479.6050108894594,Camino de Valderribas nº 94,CALLE PUERTO DE CARDOSO 7,21
